speciesID,matched_taxonID,acceptedNameUsageID,taxonName,domain,kingdom,phylum,class,subclass,superorder,order,sub-order,infraorder,section,subsection,superfamily,family,subfamily,tribe,genus,subgenus,genericName,specificEpithet,infraspecificEpithet,taxonRank,taxonomicStatus,parentNameUsageID
A-Arth-Hexa-Coleoptera-000218,,,Basilepta cupreata(?),Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Eumolpinae,"",Basilepta,"","",cupreata,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000219,,,Pachnephorus bretinghami,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Eumolpinae,"",Pachnephorus,"","",bretinghami,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000220,,,Pagria bipustulata,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Eumolpinae,"",Pagria,"","",bipustulata,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000221,,,Pagria grata,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Eumolpinae,"",Pagria,"","",grata,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000222,,,Pagria ingibbosa,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Eumolpinae,"",Pagria,"","",ingibbosa,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000223,,,Phytorus dilatatus,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Eumolpinae,"",Phytorus,"","",dilatatus,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000224,,,Phytorus pinguis,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Eumolpinae,"",Phytorus,"","",pinguis,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000226,,,Piomera malayana,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Eumolpinae,"",Piomera,"","",malayana,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000227,,,Heteraspis dillwyni,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Eumolpinae,"",Heteraspis,"","",dillwyni,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000228,,,Heteraspis granulosa,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Eumolpinae,"",Heteraspis,"","",granulosa,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000229,,,Stethotes lefevrei,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Eumolpinae,"",Stethotes,"","",lefevrei,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000230,,,Trichochrysea cupreata,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Eumolpinae,"",Trichochrysea,"","",cupreata,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000231,,,Trichochrysea hirta,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Eumolpinae,"",Trichochrysea,"","",hirta,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000232,,,Sphaeroderma? viridipennis,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Galerucinae,"",Sphaeroderma,"","",viridipennis,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000235,,,Aulacophora antennata,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Galerucinae,"",Aulacophora,"","",antennata,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000236,,,Aulacophora atripennis,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Galerucinae,"",Aulacophora,"","",atripennis,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000237,,,Aulacophora coffeae,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Galerucinae,"",Aulacophora,"","",coffeae,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000238,,,Aulacophora flaviventris,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Galerucinae,"",Aulacophora,"","",flaviventris,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000241,,,Aulacophora luteicornis,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Galerucinae,"",Aulacophora,"","",luteicornis,"",BOSuncornirmedSpecies,BOSunformired,
