speciesId,matched_taxonID,acceptedNameUsageID,taxonName,domain,kingdom,phylum,class,subclass,superorder,order,sub-order,infraorder,section,subsection,superfamily,family,subfamily,tribe,genus,subgenus,genericName,specificEpithet,infraspecificEpithet
A-Arth-Hexa-Coleoptera-000430,7953043,1116880,<i>Glenea (Glenea) interrupta</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Glenea,Glenea,Glenea,interrupta,""
A-Arth-Hexa-Coleoptera-000418,8233614,7792089,<i>Glenea (Macroglenea) elegans</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Glenea,Macroglenea,Glenea,elegans,""
A-Arth-Hexa-Coleoptera-000418,11016647,7792089,<i>Glenea (Macroglenea) elegans</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Glenea,Macroglenea,Glenea,elegans,""
A-Arth-Hexa-Coleoptera-000418,7987613,7792089,<i>Glenea (Macroglenea) elegans</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Glenea,Macroglenea,Glenea,elegans,""
A-Arth-Hexa-Coleoptera-000418,9229854,7792089,<i>Glenea (Macroglenea) elegans</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Glenea,Macroglenea,Glenea,elegans,""
A-Arth-Hexa-Coleoptera-000418,7600265,7792089,<i>Glenea (Macroglenea) elegans</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Glenea,Macroglenea,Glenea,elegans,""
A-Arth-Hexa-Coleoptera-001062,8141682,1117107,<i>Glenea galathea</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Glenea,,Glenea,galathea,""
A-Arth-Hexa-Coleoptera-001062,7370120,1117107,<i>Glenea galathea</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Glenea,,Glenea,galathea,""
A-Arth-Hexa-Coleoptera-000437,7385274,1116979,<i>Glenea (Glenea) pulchella</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Glenea,Glenea,Glenea,pulchella,""
A-Arth-Hexa-Coleoptera-000436,1116261,8063280,<i>Glenea (Glenea) novemguttata</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Glenea,Glenea,Glenea,novemguttata,""
A-Arth-Hexa-Coleoptera-000437,8266468,1116701,<i>Glenea (Glenea) pulchella</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Glenea,Glenea,Glenea,pulchella,""
A-Arth-Hexa-Coleoptera-000437,7748080,1116701,<i>Glenea (Glenea) pulchella</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Glenea,Glenea,Glenea,pulchella,""
A-Arth-Hexa-Coleoptera-000423,7710161,1116626,<i>Glenea (Glenea) camelina</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Glenea,Glenea,Glenea,camelina,""
A-Arth-Hexa-Coleoptera-000425,7789516,1116125,<i>Glenea (Glenea) clytoides</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Glenea,Glenea,Glenea,clytoides,""
A-Arth-Hexa-Coleoptera-000426,7834976,1116102,<i>Glenea (Glenea) coris</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Glenea,Glenea,Glenea,coris,""
A-Arth-Hexa-Orthoptera-000121,1705241,-1,<i>Phlaeoba antennata</i>,,,Arthropoda,Insecta,,,Orthoptera,,,,,,Acrididae,Acridinae,,Phlaeoba,,Phlaeoba,antennata,""
A-Arth-Hexa-Lepidoptera-000543,1889272,-1,<i>Eurrhyparodes tricoloralis</i>,,,,Insecta,,,Lepidoptera,,,,,,Crambidae,Spilomelinae,,Eurrhyparodes,,Eurrhyparodes,tricoloralis,""
A-Arth-Hexa-Coleoptera-000476,8315705,6269636,<i>Stibara (Stibara) rufina</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Stibara,Stibara,Stibara,rufina,""
A-Arth-Hexa-Coleoptera-000473,1115163,8214605,<i>Serixia (Serixia) longicornis</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Serixia,Serixia,Serixia,longicornis,""
A-Arth-Hexa-Phasmatodea-000018,1410246,-1,<i>Necroscia punctata</i>,,,Arthopoda,Insecta,,,Phasmatodea,,Anareolatae,,,,Diapheromeridae,Necrosciinae,,Necroscia,,Necroscia,punctata,""
A-Arth-Hexa-Coleoptera-000373,7732463,1146427,<i>Cacia (Ipocregyes) newmanni</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Cacia,Ipocregyes,Cacia,newmanni,""
